MeanLength,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
45,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143,73.60740143
46,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168,78.83788168
47,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329,84.31678329
48,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143,90.05030143
49,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185,96.04465185
50,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706,102.3060706
51,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135,108.8408135
52,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561,115.6551561
53,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393,122.755393
54,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381,130.1478381
55,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234,137.8388234
56,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998,145.8346998
57,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358,154.1418358
58,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181,162.7666181
59,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506,171.7154506
60,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548,180.9947548
61,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689,190.6109689
62,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482,200.5705482
63,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645,210.8799645
64,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058,221.5457058
65,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764,232.5742764
66,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964,243.9721964
67,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018,255.7460018
68,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439,267.9022439
69,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895,280.4474895
70,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204,293.3883204
71,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334,306.7313334
